id_vuelo,numero_vuelo,id_destino,aerolinea,precio_base,fecha_salida,capacidad_total,asientos_disponibles,modelo_avion
2810,FL682645,133,American Airlines,1067.21,2026-05-25 20:22:32,399,97,Airbus A350
2811,FL767345,179,LATAM,1159.0,2026-05-29 20:46:04,327,194,Boeing 737
2812,FL296581,87,Sky,1085.11,2026-05-06 16:56:23,226,145,Airbus A320
2813,FL725219,101,Sky,425.17,2026-05-03 20:19:14,189,156,Boeing 787
2814,FL190944,259,American Airlines,173.97,2026-05-27 23:05:19,295,275,Boeing 737
2815,FL724219,120,Iberia,613.78,2026-05-29 04:26:19,309,71,Boeing 737
2816,FL473414,231,Delta,431.74,2026-05-04 01:52:29,351,262,Airbus A320
2817,FL985661,130,Sky,435.93,2026-05-11 15:48:23,346,288,Boeing 787
2818,FL192066,65,Delta,1144.16,2026-05-20 08:32:15,155,27,Boeing 737
2819,FL846579,154,LATAM,236.72,2026-05-08 03:38:19,342,89,Boeing 737
2820,FL157348,277,Delta,416.36,2026-05-22 20:19:59,281,189,Airbus A320
2821,FL947820,274,Iberia,562.52,2026-05-28 17:51:48,264,77,Boeing 737
2822,FL374715,259,LATAM,587.29,2026-05-02 16:00:02,361,59,Airbus A350
2823,FL132865,226,Sky,1082.79,2026-05-15 13:01:03,189,62,Boeing 737
2824,FL354212,30,Sky,1152.9,2026-05-19 00:34:10,361,350,Boeing 787
2825,FL792422,169,American Airlines,795.66,2026-05-20 18:56:36,239,129,Airbus A320
2826,FL873773,179,Iberia,225.66,2026-05-01 16:43:36,392,48,Airbus A350
2827,FL524816,108,American Airlines,1062.48,2026-05-02 23:52:31,172,26,Airbus A350
2828,FL937436,231,Delta,1093.98,2026-05-18 11:49:53,265,184,Airbus A320
2829,FL872700,274,LATAM,657.01,2026-05-05 11:11:29,278,70,Airbus A320
2830,FL726759,79,Delta,794.69,2026-05-28 17:32:08,312,132,Airbus A350
2831,FL217081,185,Sky,183.79,2026-05-28 08:25:49,277,6,Airbus A350
2832,FL197344,13,Avianca,430.58,2026-05-30 03:41:22,201,164,Airbus A320
2833,FL817815,249,LATAM,1150.36,2026-05-01 15:49:45,251,106,Boeing 787
2834,FL509764,152,LATAM,351.43,2026-05-28 19:23:15,168,143,Airbus A320
2835,FL524657,72,Avianca,576.72,2026-05-25 06:26:41,164,66,Airbus A320
2836,FL202842,291,Avianca,311.36,2026-05-27 10:04:47,289,42,Airbus A350
2837,FL534059,189,Delta,1094.12,2026-05-20 05:37:19,185,88,Airbus A320
2838,FL255803,51,American Airlines,178.6,2026-05-27 13:04:43,305,49,Boeing 737
2839,FL948340,126,American Airlines,512.98,2026-05-25 22:31:54,230,44,Airbus A350
2840,FL927352,269,Iberia,1067.25,2026-05-23 17:33:59,193,105,Boeing 737
2841,FL432837,193,LATAM,740.65,2026-05-25 01:30:23,233,83,Airbus A320
2842,FL314555,179,American Airlines,597.77,2026-05-15 11:21:33,228,179,Airbus A320
2843,FL570450,273,Iberia,1166.39,2026-05-09 07:40:01,196,4,Airbus A350
2844,FL430897,103,Iberia,671.35,2026-05-04 23:18:22,255,248,Airbus A320
2845,FL691247,220,LATAM,1090.2,2026-05-10 08:57:08,214,168,Airbus A320
2846,FL119192,186,Avianca,732.66,2026-04-30 22:14:59,232,156,Boeing 787
2847,FL363686,44,LATAM,332.51,2026-05-14 09:50:10,185,95,Airbus A320
2848,FL736172,38,Delta,602.78,2026-05-03 01:25:47,358,217,Boeing 787
2849,FL821200,79,American Airlines,613.75,2026-05-12 10:11:52,154,152,Airbus A350
2850,FL458355,199,Iberia,220.92,2026-05-15 22:58:28,255,169,Boeing 737
2851,FL148523,293,American Airlines,1014.94,2026-05-13 17:04:06,395,358,Boeing 737
2852,FL716755,251,Avianca,622.2,2026-05-09 10:13:19,310,34,Boeing 737
2853,FL245942,286,Sky,542.98,2026-05-08 21:48:08,373,63,Airbus A350
2854,FL920737,30,Iberia,1138.5,2026-05-13 03:54:41,173,17,Airbus A320
2855,FL621055,238,Delta,584.64,2026-05-09 01:53:47,261,130,Airbus A320
2856,FL551088,228,Delta,843.16,2026-05-07 04:04:42,168,41,Airbus A350
2857,FL139210,54,Delta,958.47,2026-05-22 23:11:57,257,10,Airbus A350
2858,FL329010,7,Avianca,308.47,2026-05-15 10:26:02,211,70,Airbus A320
2859,FL766477,263,LATAM,625.44,2026-05-24 12:24:47,225,174,Airbus A350
2860,FL564238,57,Delta,308.57,2026-05-28 05:44:09,260,82,Boeing 737
2861,FL981674,163,Avianca,627.14,2026-05-12 02:05:35,300,125,Boeing 787
2862,FL400485,59,Iberia,277.15,2026-04-30 20:14:32,369,273,Boeing 787
2863,FL443506,209,American Airlines,287.17,2026-05-26 10:41:44,361,137,Airbus A320
2864,FL257830,273,LATAM,977.13,2026-05-11 03:08:13,287,271,Boeing 737
2865,FL941592,229,LATAM,580.39,2026-05-21 04:42:03,246,78,Boeing 787
2866,FL538096,1,American Airlines,822.24,2026-05-02 08:36:16,232,5,Boeing 737
2867,FL538327,117,Delta,441.05,2026-05-16 15:22:36,277,38,Boeing 787
2868,FL761564,237,LATAM,320.95,2026-05-05 12:50:57,377,87,Boeing 737
2869,FL808271,291,Iberia,1132.36,2026-05-03 20:35:04,305,302,Airbus A350
2870,FL975695,240,Iberia,224.18,2026-05-22 22:33:07,253,98,Boeing 787
2871,FL876276,198,Sky,1098.44,2026-05-19 19:27:31,354,214,Airbus A320
2872,FL635401,209,Iberia,985.07,2026-05-25 06:11:50,364,295,Boeing 787
2873,FL223540,274,Iberia,642.1,2026-05-12 18:28:16,368,119,Airbus A350
2874,FL732247,219,American Airlines,813.75,2026-05-01 01:26:30,210,85,Airbus A350
2875,FL882124,290,American Airlines,644.51,2026-05-19 22:53:07,336,28,Boeing 787
2876,FL912856,69,Delta,430.86,2026-05-19 04:51:42,188,167,Boeing 737
2877,FL723924,283,Sky,415.55,2026-05-20 14:27:10,167,40,Airbus A350
2878,FL126781,290,Delta,758.61,2026-05-08 13:11:05,265,230,Airbus A350
2879,FL582279,78,Avianca,153.24,2026-05-12 23:20:55,199,63,Boeing 787
2880,FL313491,260,American Airlines,258.74,2026-05-24 07:19:01,229,82,Boeing 737
2881,FL593613,203,American Airlines,229.67,2026-05-24 23:59:17,328,238,Boeing 787
2882,FL938300,189,LATAM,857.16,2026-05-02 18:41:59,384,69,Boeing 787
2883,FL144188,147,LATAM,432.13,2026-05-24 09:41:24,390,32,Boeing 737
2884,FL157613,123,Sky,945.46,2026-05-17 17:35:48,197,32,Airbus A320
2885,FL787400,215,Sky,1161.86,2026-05-15 22:38:35,189,164,Boeing 737
2886,FL197517,294,Iberia,407.77,2026-05-12 22:13:45,236,70,Boeing 737
2887,FL520280,51,Iberia,560.22,2026-05-03 08:37:48,317,68,Boeing 737
2888,FL985309,240,LATAM,1190.08,2026-05-09 11:06:47,285,117,Boeing 787
2889,FL793843,218,American Airlines,177.39,2026-05-28 22:21:45,363,130,Boeing 787
2890,FL971537,172,Sky,806.92,2026-05-29 17:04:14,394,240,Airbus A350
2891,FL111945,236,Delta,578.72,2026-05-16 03:50:57,174,134,Boeing 787
2892,FL473835,201,Avianca,1147.53,2026-05-08 02:50:39,189,119,Airbus A350
2893,FL854003,49,Avianca,822.94,2026-05-23 15:22:01,251,249,Boeing 737
2894,FL325736,223,Sky,1151.69,2026-05-09 02:53:45,333,242,Boeing 737
2895,FL936350,37,Iberia,1077.79,2026-05-25 14:30:15,152,131,Boeing 787
2896,FL403683,245,Delta,428.4,2026-05-20 14:56:07,200,41,Boeing 737
2897,FL985921,220,Delta,419.62,2026-05-06 17:29:27,395,310,Airbus A320
2898,FL110764,255,Delta,1102.24,2026-05-09 03:14:40,352,347,Boeing 787
2899,FL950318,232,Iberia,847.18,2026-05-08 09:31:52,294,24,Airbus A320
2900,FL790033,9,Sky,345.67,2026-05-04 00:39:56,363,87,Boeing 787
2901,FL484554,160,Delta,544.75,2026-05-11 08:58:13,308,186,Airbus A320
2902,FL208129,23,American Airlines,168.13,2026-05-12 08:20:43,268,150,Airbus A320
2903,FL304855,37,Avianca,941.32,2026-05-01 02:29:59,305,122,Boeing 737
2904,FL873233,135,LATAM,814.6,2026-05-12 03:01:12,369,301,Boeing 737
2905,FL750171,47,Iberia,1006.19,2026-05-07 00:08:33,363,180,Airbus A350
2906,FL205518,180,Avianca,121.56,2026-05-04 12:24:20,154,62,Airbus A320
2907,FL775024,259,Avianca,291.8,2026-05-22 06:38:16,348,247,Boeing 787
2908,FL676453,295,Delta,265.61,2026-05-04 15:24:39,301,161,Boeing 787
2909,FL772711,97,Delta,344.79,2026-05-20 22:50:30,298,180,Airbus A350
2910,FL906654,2,Sky,855.75,2026-05-19 18:39:15,234,218,Boeing 737
2911,FL275975,266,Avianca,369.08,2026-05-25 13:25:51,386,45,Boeing 787
2912,FL214286,197,Iberia,335.46,2026-05-27 13:21:35,249,135,Airbus A320
2913,FL436015,32,Avianca,577.26,2026-05-28 00:58:31,294,25,Airbus A320
2914,FL291476,185,Avianca,1150.09,2026-05-15 05:46:23,197,140,Airbus A350
2915,FL534789,254,American Airlines,248.88,2026-05-09 09:39:26,217,143,Airbus A350
2916,FL168401,255,LATAM,505.32,2026-05-13 03:24:29,152,53,Boeing 787
2917,FL579179,98,Avianca,217.06,2026-05-20 11:09:36,205,168,Boeing 787
2918,FL227611,114,Delta,517.95,2026-05-21 13:27:10,217,214,Airbus A320
2919,FL880833,88,Avianca,864.34,2026-05-05 18:41:42,204,88,Boeing 737
2920,FL157197,265,Delta,273.03,2026-05-10 07:27:48,364,240,Airbus A350
2921,FL946512,120,Delta,820.3,2026-05-27 06:05:27,383,156,Boeing 737
2922,FL885639,298,Delta,560.23,2026-05-10 20:50:47,350,9,Airbus A320
2923,FL923375,89,LATAM,916.4,2026-05-15 02:30:30,174,72,Boeing 737
2924,FL330960,159,Avianca,878.15,2026-05-19 13:58:34,380,60,Airbus A320
2925,FL908308,33,Iberia,981.22,2026-05-22 16:58:59,359,340,Boeing 737
2926,FL779580,61,LATAM,504.9,2026-05-05 04:20:24,177,144,Boeing 787
2927,FL843337,86,LATAM,957.4,2026-05-12 00:34:25,191,31,Airbus A350
2928,FL420170,88,Delta,253.47,2026-05-14 12:24:01,252,224,Airbus A320
2929,FL214075,38,Avianca,105.56,2026-05-11 03:59:20,259,143,Boeing 737
2930,FL122443,249,Delta,252.09,2026-05-30 02:59:40,386,364,Boeing 737
2931,FL162748,244,Iberia,751.56,2026-05-24 00:53:33,163,112,Airbus A350
2932,FL611524,171,Iberia,961.03,2026-05-05 01:58:56,375,183,Airbus A320
2933,FL339987,178,American Airlines,818.81,2026-05-26 05:41:36,272,118,Boeing 737
2934,FL244653,267,LATAM,1187.99,2026-05-09 21:08:38,234,20,Airbus A350
2935,FL290901,290,LATAM,964.1,2026-05-10 10:06:51,326,97,Airbus A320
2936,FL430002,60,Sky,1097.71,2026-05-21 20:58:50,222,138,Airbus A350
2937,FL305535,200,Sky,1000.53,2026-05-06 21:02:53,304,203,Boeing 737
2938,FL535881,164,American Airlines,454.61,2026-05-20 11:06:50,302,70,Airbus A320
2939,FL736913,214,American Airlines,759.71,2026-05-07 13:13:24,246,99,Boeing 737
2940,FL947448,222,Iberia,325.61,2026-05-05 21:25:26,363,38,Airbus A350
2941,FL665614,258,Delta,827.97,2026-05-20 23:36:07,184,183,Airbus A320
2942,FL828407,256,Sky,467.36,2026-05-06 23:55:53,194,88,Airbus A350
2943,FL692509,44,LATAM,1160.83,2026-05-18 17:32:17,377,123,Boeing 787
2944,FL804660,141,American Airlines,494.7,2026-05-23 10:35:57,202,60,Boeing 737
2945,FL856783,136,American Airlines,887.42,2026-05-21 11:03:16,380,360,Boeing 737
2946,FL436389,191,Delta,657.48,2026-05-25 11:46:11,369,359,Boeing 737
2947,FL497567,287,American Airlines,880.29,2026-05-16 20:39:25,228,7,Airbus A320
2948,FL677764,176,Avianca,297.4,2026-05-18 11:20:43,398,99,Airbus A320
2949,FL995155,19,Delta,1011.22,2026-05-07 17:55:23,201,66,Boeing 737
2950,FL696331,141,American Airlines,335.39,2026-05-23 11:03:53,172,100,Boeing 737
2951,FL794028,257,Sky,761.12,2026-05-02 17:27:32,294,78,Boeing 787
2952,FL123025,275,Iberia,779.96,2026-05-06 17:27:10,400,84,Airbus A350
2953,FL241569,155,Sky,151.58,2026-05-27 17:09:50,391,374,Airbus A320
2954,FL235728,181,LATAM,312.42,2026-05-02 00:00:25,327,24,Airbus A350
2955,FL587910,195,Sky,333.43,2026-05-07 19:23:12,307,203,Boeing 737
2956,FL226499,80,Delta,312.93,2026-05-20 02:15:49,213,162,Boeing 787
2957,FL893221,115,Avianca,929.42,2026-05-14 15:23:12,333,89,Airbus A320
2958,FL135599,192,Avianca,1107.26,2026-05-15 00:48:19,280,149,Boeing 737
2959,FL699729,150,Sky,741.28,2026-05-24 00:12:32,380,242,Boeing 737
2960,FL607500,88,Delta,1007.65,2026-05-13 17:24:54,206,173,Airbus A350
2961,FL186107,101,Sky,282.31,2026-05-28 21:58:13,159,121,Boeing 787
2962,FL964955,159,Delta,732.63,2026-05-15 13:21:16,158,107,Airbus A320
2963,FL845879,32,American Airlines,597.44,2026-05-17 02:43:30,287,86,Airbus A320
2964,FL887255,203,Delta,632.75,2026-05-13 07:55:42,243,22,Boeing 787
2965,FL489401,187,LATAM,1019.66,2026-05-12 19:49:44,374,372,Airbus A350
2966,FL645700,151,Iberia,157.37,2026-05-08 05:10:18,291,167,Airbus A350
2967,FL217948,89,Avianca,298.25,2026-05-13 09:50:36,312,187,Boeing 787
2968,FL712253,287,American Airlines,433.73,2026-05-06 15:21:02,335,249,Boeing 787
2969,FL430434,185,Sky,166.18,2026-05-18 01:53:23,254,34,Boeing 737
2970,FL889428,65,LATAM,648.18,2026-05-29 15:17:26,343,151,Boeing 787
2971,FL546383,216,LATAM,590.59,2026-05-04 12:36:43,394,29,Airbus A350
2972,FL927496,231,American Airlines,649.3,2026-05-10 13:21:41,178,72,Airbus A320
2973,FL736558,258,Delta,245.23,2026-05-25 06:59:59,236,192,Boeing 787
2974,FL122869,52,LATAM,325.71,2026-05-08 06:33:53,310,235,Airbus A350
2975,FL206975,245,Avianca,1030.92,2026-05-21 20:58:41,363,93,Airbus A320
2976,FL142263,272,Sky,1168.15,2026-05-02 12:50:19,372,210,Boeing 787
2977,FL827704,59,Delta,246.87,2026-05-26 07:45:12,194,71,Airbus A320
2978,FL717853,159,Sky,768.54,2026-05-11 00:40:54,196,155,Boeing 787
2979,FL222659,44,LATAM,1135.19,2026-05-02 11:00:31,290,49,Boeing 787
2980,FL376850,159,Iberia,295.93,2026-05-12 23:51:13,372,103,Airbus A350
2981,FL247609,182,LATAM,464.34,2026-05-25 02:31:10,354,75,Boeing 787
2982,FL473107,172,LATAM,837.77,2026-05-14 16:05:32,369,233,Boeing 737
2983,FL554102,122,American Airlines,650.0,2026-05-07 18:30:14,300,180,Boeing 787
2984,FL283291,196,Delta,191.4,2026-05-21 20:43:34,391,119,Boeing 787
2985,FL883354,115,Delta,556.13,2026-05-24 08:25:25,381,230,Airbus A320
2986,FL904891,298,Avianca,731.02,2026-05-05 18:50:47,300,18,Boeing 787
2987,FL289286,258,American Airlines,375.23,2026-05-11 21:17:20,161,90,Airbus A350
2988,FL988340,266,Sky,1076.77,2026-05-12 02:37:34,210,138,Airbus A350
2989,FL534070,172,LATAM,1194.65,2026-05-09 08:40:53,257,148,Boeing 737
2990,FL930637,213,Delta,1049.55,2026-05-15 04:44:16,281,108,Boeing 737
2991,FL809538,175,Avianca,242.31,2026-05-10 17:48:21,169,152,Boeing 787
2992,FL864963,254,Sky,1015.94,2026-05-11 20:49:28,229,147,Airbus A350
2993,FL994397,62,Delta,612.82,2026-05-14 23:18:28,164,156,Boeing 787
2994,FL526031,169,Avianca,873.96,2026-05-24 05:21:47,158,7,Boeing 787
2995,FL239742,78,Avianca,900.5,2026-05-17 20:10:46,161,51,Airbus A350
2996,FL465889,7,Sky,1175.35,2026-05-25 13:33:49,207,73,Boeing 737
2997,FL141851,187,Iberia,805.26,2026-05-06 12:32:38,150,117,Boeing 737
2998,FL149309,292,Avianca,927.97,2026-05-15 03:34:20,234,141,Boeing 737
2999,FL309953,63,American Airlines,760.22,2026-05-22 07:36:27,233,221,Boeing 737
3000,FL289257,259,Delta,523.69,2026-05-12 09:16:25,386,144,Airbus A320
3001,FL294586,253,Sky,140.12,2026-05-12 23:32:44,272,147,Boeing 787
3002,FL180448,136,Avianca,632.73,2026-05-19 02:22:13,328,34,Boeing 737
3003,FL500545,98,Iberia,530.13,2026-05-29 17:26:02,175,160,Airbus A350
3004,FL604412,195,Iberia,1047.41,2026-04-30 21:27:02,350,80,Boeing 787
3005,FL416093,39,Avianca,449.57,2026-05-22 00:22:29,326,315,Boeing 737
3006,FL479132,133,Delta,580.26,2026-05-24 13:17:59,246,184,Boeing 787
3007,FL368012,76,Iberia,975.45,2026-05-29 18:44:51,303,251,Boeing 787
3008,FL768355,100,American Airlines,173.26,2026-05-02 00:28:57,237,199,Airbus A350
3009,FL932879,275,Avianca,831.74,2026-05-04 03:11:03,196,70,Boeing 737
3010,FL794470,17,American Airlines,175.63,2026-05-26 01:59:59,322,128,Airbus A350
3011,FL703291,161,LATAM,977.15,2026-05-24 02:04:28,350,205,Airbus A320
3012,FL181394,286,Sky,318.83,2026-05-17 23:29:42,336,42,Boeing 737
3013,FL312601,296,Iberia,847.45,2026-05-27 17:46:03,175,73,Boeing 787
3014,FL869325,253,Avianca,819.51,2026-05-16 10:17:14,228,81,Boeing 787
3015,FL112859,162,Delta,811.94,2026-05-09 23:07:10,254,46,Boeing 737
3016,FL629658,40,Delta,791.12,2026-05-24 07:11:59,296,254,Airbus A320
3017,FL625475,245,LATAM,752.1,2026-05-14 20:38:49,251,57,Boeing 737
3018,FL586786,254,Avianca,134.97,2026-05-02 19:58:48,376,269,Airbus A320
3019,FL879164,84,Avianca,491.53,2026-05-13 12:40:46,384,382,Airbus A320
3020,FL943272,57,Delta,266.17,2026-05-02 10:11:20,216,177,Airbus A350
3021,FL126061,98,Iberia,244.8,2026-05-29 00:59:59,233,119,Boeing 787
3022,FL749425,150,Delta,1146.55,2026-05-08 23:18:31,206,49,Boeing 787
3023,FL389057,40,Sky,595.71,2026-05-14 11:24:28,158,134,Boeing 787
3024,FL967127,229,LATAM,989.41,2026-05-07 03:25:41,400,167,Airbus A350
3025,FL595184,250,American Airlines,300.37,2026-05-20 23:10:15,314,3,Boeing 737
3026,FL704962,32,Iberia,489.58,2026-05-30 03:55:01,314,179,Airbus A350
3027,FL306939,237,Iberia,1156.05,2026-05-17 22:03:57,167,141,Airbus A320
3028,FL320195,229,Avianca,832.62,2026-05-21 09:13:13,171,53,Boeing 787
3029,FL392296,279,Delta,257.97,2026-05-21 16:44:05,239,176,Airbus A350
3030,FL582536,283,Delta,1193.39,2026-05-05 02:43:27,191,93,Boeing 787
3031,FL289666,62,Avianca,708.42,2026-05-20 19:33:29,364,342,Airbus A350
3032,FL433285,163,Iberia,837.92,2026-05-01 03:54:20,261,219,Airbus A350
3033,FL638382,278,Iberia,689.32,2026-05-01 23:14:21,179,158,Boeing 787
3034,FL156374,24,Iberia,866.73,2026-05-10 09:34:18,333,26,Airbus A350
3035,FL812401,49,LATAM,834.94,2026-05-18 15:17:32,314,128,Boeing 787
3036,FL597324,33,Avianca,782.62,2026-05-17 17:50:44,162,122,Boeing 787
3037,FL784289,121,Delta,210.58,2026-05-08 13:04:02,197,26,Boeing 737
3038,FL614875,93,Sky,809.58,2026-04-30 13:13:13,154,58,Airbus A350
3039,FL274088,117,Iberia,239.89,2026-05-24 08:08:01,385,214,Boeing 787
3040,FL328127,141,Sky,715.23,2026-05-08 11:05:13,272,235,Boeing 737
3041,FL846178,286,Avianca,588.35,2026-05-06 11:54:21,262,206,Airbus A350
3042,FL561820,262,Avianca,443.36,2026-05-22 05:49:18,373,39,Boeing 737
3043,FL245846,210,LATAM,845.69,2026-05-18 13:24:44,362,160,Boeing 737
3044,FL368977,133,LATAM,764.4,2026-05-17 06:03:34,247,175,Airbus A320
3045,FL431536,52,American Airlines,488.95,2026-05-27 14:48:42,224,30,Boeing 787
3046,FL740636,159,LATAM,1102.0,2026-05-17 18:49:49,367,263,Airbus A320
3047,FL740552,105,LATAM,1108.93,2026-05-03 22:51:19,271,240,Airbus A350
3048,FL703894,217,Avianca,344.56,2026-05-26 11:30:31,294,246,Airbus A350
3049,FL869924,279,Iberia,348.86,2026-05-17 09:26:28,212,25,Boeing 737
3050,FL466903,10,American Airlines,1023.44,2026-05-27 17:11:20,311,84,Airbus A350
3051,FL238704,252,Delta,552.99,2026-05-28 19:33:48,371,351,Boeing 787
3052,FL893230,104,Iberia,1003.02,2026-05-19 13:57:11,330,158,Boeing 737
3053,FL227283,300,LATAM,709.58,2026-05-06 16:47:35,326,118,Boeing 787
3054,FL119274,115,LATAM,773.19,2026-05-02 04:16:20,315,258,Boeing 737
3055,FL897947,25,Avianca,1069.09,2026-05-26 14:13:28,178,108,Airbus A320
3056,FL965149,258,LATAM,992.97,2026-05-13 02:02:47,175,103,Airbus A320
3057,FL403825,4,Iberia,1105.73,2026-05-06 10:28:08,352,319,Airbus A320
3058,FL587198,44,American Airlines,229.41,2026-05-15 06:54:30,312,71,Boeing 787
3059,FL366249,54,Iberia,604.66,2026-05-17 03:54:20,214,170,Airbus A350
3060,FL843332,241,LATAM,362.25,2026-05-15 16:56:52,212,95,Boeing 787
3061,FL124811,172,American Airlines,879.94,2026-05-05 16:33:23,193,169,Airbus A320
3062,FL167873,299,Avianca,409.52,2026-05-25 09:59:01,214,147,Airbus A350
3063,FL543155,108,American Airlines,385.94,2026-05-05 05:35:27,170,1,Airbus A320
3064,FL337678,159,Avianca,530.58,2026-05-18 09:54:26,292,286,Airbus A350
3065,FL594990,47,Sky,910.27,2026-05-05 12:46:10,172,114,Airbus A350
3066,FL681818,191,Iberia,1067.43,2026-05-04 09:39:13,157,140,Boeing 787
3067,FL843422,20,LATAM,738.99,2026-05-11 15:43:18,294,165,Airbus A350
3068,FL780703,141,Iberia,316.28,2026-05-24 18:00:49,210,42,Airbus A320
3069,FL163148,208,Sky,1139.67,2026-05-01 09:26:17,222,147,Boeing 737
3070,FL854529,92,LATAM,882.97,2026-05-04 03:32:27,223,30,Airbus A320
3071,FL907351,183,Sky,311.53,2026-05-29 21:15:45,160,50,Boeing 737
3072,FL407523,4,LATAM,274.99,2026-05-08 11:15:49,330,69,Boeing 737
3073,FL508681,3,LATAM,572.64,2026-05-07 03:51:19,217,61,Boeing 737
3074,FL265429,27,Avianca,616.29,2026-05-28 12:50:48,294,27,Boeing 787
3075,FL982997,101,American Airlines,1191.97,2026-05-03 18:05:36,306,169,Airbus A320
3076,FL263237,230,American Airlines,672.17,2026-05-14 08:36:35,381,61,Airbus A320
3077,FL361358,172,LATAM,893.47,2026-05-09 00:18:53,244,28,Airbus A320
3078,FL503788,259,Avianca,197.04,2026-05-16 04:09:19,385,188,Boeing 787
3079,FL679102,280,American Airlines,231.05,2026-05-13 17:23:11,358,143,Airbus A320
3080,FL266158,156,Delta,786.98,2026-05-20 02:34:39,175,38,Airbus A320
3081,FL709227,217,Avianca,494.48,2026-05-08 07:10:34,383,314,Boeing 737
3082,FL158918,127,Iberia,207.7,2026-05-29 07:07:42,221,149,Airbus A320
3083,FL728439,35,Delta,1042.68,2026-05-25 06:09:17,302,203,Boeing 737
3084,FL901997,82,American Airlines,405.09,2026-05-07 02:07:46,334,259,Boeing 737
3085,FL211495,61,Iberia,134.65,2026-05-04 15:29:35,316,226,Boeing 737
3086,FL114275,190,American Airlines,1120.66,2026-05-20 20:06:15,340,303,Boeing 787
3087,FL232805,191,Iberia,649.38,2026-05-30 10:57:18,189,71,Boeing 787
3088,FL537804,255,Iberia,1144.36,2026-05-14 17:12:07,225,59,Airbus A320
3089,FL854224,1,Iberia,378.19,2026-05-08 21:10:03,320,159,Airbus A320
3090,FL656386,267,LATAM,164.15,2026-05-01 22:11:22,215,59,Airbus A350
3091,FL799307,194,Sky,174.77,2026-05-17 19:02:23,331,115,Airbus A350
3092,FL533703,168,Iberia,808.82,2026-05-05 23:43:48,274,95,Boeing 787
3093,FL451730,259,Sky,465.1,2026-05-05 23:36:06,376,358,Boeing 737
3094,FL723371,56,Delta,591.98,2026-05-07 04:13:11,317,165,Boeing 787
3095,FL980544,84,American Airlines,364.11,2026-05-19 14:05:42,331,284,Airbus A320
3096,FL381876,30,Avianca,297.82,2026-05-19 03:58:32,179,31,Airbus A350
3097,FL417055,95,Sky,493.53,2026-05-11 12:31:19,258,158,Airbus A320
3098,FL824489,51,Delta,605.14,2026-05-21 18:12:31,281,232,Boeing 737
3099,FL510271,184,Sky,346.67,2026-05-15 07:47:56,267,122,Airbus A350
3100,FL859714,164,Iberia,586.62,2026-05-05 05:51:49,393,108,Boeing 737
3101,FL927511,75,LATAM,985.9,2026-05-28 23:07:58,228,86,Boeing 737
3102,FL850924,19,LATAM,948.34,2026-05-27 19:33:58,182,149,Airbus A320
3103,FL229805,275,LATAM,366.65,2026-05-30 02:34:03,245,90,Airbus A350
3104,FL140881,103,LATAM,813.24,2026-05-08 00:11:32,257,103,Airbus A350
3105,FL825817,25,Sky,213.86,2026-05-15 09:02:03,293,253,Boeing 737
3106,FL890323,134,Avianca,964.92,2026-05-09 16:24:05,311,129,Airbus A320
3107,FL153962,142,Avianca,191.25,2026-05-09 20:33:21,400,132,Boeing 737
3108,FL226674,273,Avianca,176.61,2026-05-17 15:42:04,202,82,Airbus A350
3109,FL707393,143,Sky,1193.01,2026-05-13 03:51:41,234,94,Airbus A350
3110,FL977907,141,Sky,495.83,2026-05-29 21:41:01,383,25,Airbus A320
3111,FL575528,274,LATAM,1163.92,2026-05-18 16:06:30,334,110,Boeing 737
3112,FL157854,185,Iberia,458.26,2026-05-29 22:35:14,354,295,Boeing 787
3113,FL512342,190,Delta,716.19,2026-05-20 21:38:43,263,65,Boeing 737
3114,FL592869,297,Iberia,260.62,2026-05-03 12:05:57,174,17,Boeing 737
3115,FL105287,56,American Airlines,432.05,2026-05-01 17:03:45,202,68,Boeing 737
3116,FL650785,206,American Airlines,1140.08,2026-05-05 16:39:35,345,211,Boeing 787
3117,FL835087,86,American Airlines,922.22,2026-05-08 21:46:27,320,33,Airbus A350
3118,FL609802,131,Iberia,300.48,2026-05-23 22:15:44,163,6,Boeing 737
3119,FL158480,198,American Airlines,139.0,2026-05-27 07:46:38,391,162,Boeing 787
3120,FL772377,25,Iberia,206.92,2026-05-19 14:19:40,221,6,Boeing 787
3121,FL170324,4,Avianca,231.0,2026-05-12 16:03:16,180,160,Boeing 737
3122,FL405557,42,Sky,270.31,2026-05-30 06:43:06,306,200,Boeing 787
3123,FL424696,173,American Airlines,465.87,2026-05-01 13:08:22,351,149,Airbus A350
3124,FL871459,253,Sky,621.65,2026-05-26 13:25:56,309,284,Boeing 787
3125,FL118618,23,Iberia,530.12,2026-05-04 06:58:39,227,108,Boeing 787
3126,FL521677,51,Sky,259.01,2026-05-09 07:17:04,371,234,Boeing 737
3127,FL300984,115,Delta,1041.35,2026-05-21 23:31:43,224,106,Airbus A350
3128,FL899698,280,Avianca,322.54,2026-05-24 22:26:05,176,141,Airbus A350
3129,FL463833,271,LATAM,1075.15,2026-05-07 21:16:32,154,34,Boeing 787
3130,FL341619,120,Sky,613.08,2026-05-10 01:17:31,156,77,Boeing 737
3131,FL472511,213,Avianca,847.61,2026-05-19 12:28:22,151,132,Boeing 787
3132,FL497560,250,Sky,826.47,2026-04-30 18:09:07,331,159,Airbus A350
3133,FL375410,155,Iberia,374.48,2026-05-02 20:41:52,349,119,Airbus A350
